FIPS Code,State and area,Year,Month,Population,Labor_Force_Total,Labor_Force_Percent_of_Population,Employment_Total,Employment_Percent_of_Population,Unemployment_Total,Unemployment_Rate
11,District of Columbia,2019,01,"562,633   ","398,028   ",70.7   ,"374,441   ",66.6   ,"23,587   ",5.9   
12,Florida,2019,01,"17,181,201   ","10,163,853   ",59.2   ,"9,804,134   ",57.1   ,"359,719   ",3.5   
13,Georgia,2019,01,"8,156,161   ","5,122,344   ",62.8   ,"4,923,526   ",60.4   ,"198,818   ",3.9   
15,Hawaii,2019,01,"1,124,704   ","685,158   ",60.9   ,"666,547   ",59.3   ,"18,611   ",2.7   
16,Idaho,2019,01,"1,365,196   ","875,553   ",64.1   ,"849,257   ",62.2   ,"26,296   ",3.0   
17,Illinois,2019,01,"10,131,907   ","6,593,252   ",65.1   ,"6,293,474   ",62.1   ,"299,778   ",4.5   
18,Indiana,2019,01,"5,243,789   ","3,395,581   ",64.8   ,"3,277,560   ",62.5   ,"118,021   ",3.5   
19,Iowa,2019,01,"2,481,786   ","1,732,197   ",69.8   ,"1,688,310   ",68.0   ,"43,887   ",2.5   
20,Kansas,2019,01,"2,237,677   ","1,490,817   ",66.6   ,"1,442,343   ",64.5   ,"48,474   ",3.3   
21,Kentucky,2019,01,"3,509,348   ","2,055,558   ",58.6   ,"1,970,220   ",56.1   ,"85,338   ",4.2   
22,Louisiana,2019,01,"3,585,367   ","2,109,622   ",58.8   ,"2,008,556   ",56.0   ,"101,066   ",4.8   
23,Maine,2019,01,"1,116,513   ","700,746   ",62.8   ,"679,839   ",60.9   ,"20,907   ",3.0   
24,Maryland,2019,01,"4,836,881   ","3,289,198   ",68.0   ,"3,175,100   ",65.6   ,"114,098   ",3.5   
25,Massachusetts,2019,01,"5,712,539   ","3,830,830   ",67.1   ,"3,706,662   ",64.9   ,"124,168   ",3.2   
26,Michigan,2019,01,"8,042,623   ","4,962,244   ",61.7   ,"4,752,990   ",59.1   ,"209,254   ",4.2   
27,Minnesota,2019,01,"4,438,056   ","3,105,550   ",70.0   ,"2,998,536   ",67.6   ,"107,014   ",3.4   
28,Mississippi,2019,01,"2,280,165   ","1,269,731   ",55.7   ,"1,202,017   ",52.7   ,"67,714   ",5.3   
29,Missouri,2019,01,"4,802,717   ","3,055,756   ",63.6   ,"2,958,450   ",61.6   ,"97,306   ",3.2   
30,Montana,2019,01,"850,447   ","537,437   ",63.2   ,"518,142   ",60.9   ,"19,295   ",3.6   
31,Nebraska,2019,01,"1,489,616   ","1,042,303   ",70.0   ,"1,010,726   ",67.9   ,"31,577   ",3.0   
32,Nevada,2019,01,"2,386,318   ","1,524,671   ",63.9   ,"1,455,672   ",61.0   ,"68,999   ",4.5   
33,New Hampshire,2019,01,"1,125,793   ","771,972   ",68.6   ,"751,986   ",66.8   ,"19,986   ",2.6   
34,New Jersey,2019,01,"7,334,531   ","4,628,460   ",63.1   ,"4,467,515   ",60.9   ,"160,945   ",3.5   
35,New Mexico,2019,01,"1,640,564   ","958,921   ",58.5   ,"909,271   ",55.4   ,"49,650   ",5.2   
36,New York,2019,01,"16,234,804   ","9,858,570   ",60.7   ,"9,472,023   ",58.3   ,"386,547   ",3.9   
51000,New York city,2019,01,"7,110,560   ","4,290,100   ",60.3   ,"4,110,358   ",57.8   ,"179,742   ",4.2   
37,North Carolina,2019,01,"8,085,889   ","4,960,321   ",61.3   ,"4,764,419   ",58.9   ,"195,902   ",3.9   
38,North Dakota,2019,01,"591,508   ","414,641   ",70.1   ,"405,030   ",68.5   ,"9,611   ",2.3   
39,Ohio,2019,01,"9,285,733   ","5,839,215   ",62.9   ,"5,584,312   ",60.1   ,"254,903   ",4.4   
40,Oklahoma,2019,01,"3,006,204   ","1,832,147   ",60.9   ,"1,773,817   ",59.0   ,"58,330   ",3.2   
41,Oregon,2019,01,"3,386,540   ","2,093,302   ",61.8   ,"2,006,191   ",59.2   ,"87,111   ",4.2   
42,Pennsylvania,2019,01,"10,403,203   ","6,543,555   ",62.9   ,"6,254,069   ",60.1   ,"289,486   ",4.4   
44,Rhode Island,2019,01,"890,179   ","569,526   ",64.0   ,"548,130   ",61.6   ,"21,396   ",3.8   
45,South Carolina,2019,01,"3,978,020   ","2,312,177   ",58.1   ,"2,237,422   ",56.2   ,"74,755   ",3.2   
46,South Dakota,2019,01,"666,672   ","459,122   ",68.9   ,"446,252   ",66.9   ,"12,870   ",2.8   
47,Tennessee,2019,01,"5,372,757   ","3,308,604   ",61.6   ,"3,194,388   ",59.5   ,"114,216   ",3.5   
48,Texas,2019,01,"21,623,068   ","13,763,201   ",63.7   ,"13,248,657   ",61.3   ,"514,544   ",3.7   
49,Utah,2019,01,"2,341,234   ","1,599,349   ",68.3   ,"1,555,101   ",66.4   ,"44,248   ",2.8   
50,Vermont,2019,01,"531,450   ","355,602   ",66.9   ,"347,626   ",65.4   ,"7,976   ",2.2   
51,Virginia,2019,01,"6,697,091   ","4,423,237   ",66.0   ,"4,288,349   ",64.0   ,"134,888   ",3.0   
53,Washington,2019,01,"5,991,871   ","3,883,899   ",64.8   ,"3,702,409   ",61.8   ,"181,490   ",4.7   
54,West Virginia,2019,01,"1,455,634   ","794,578   ",54.6   ,"754,656   ",51.8   ,"39,922   ",5.0   
55,Wisconsin,2019,01,"4,658,398   ","3,117,488   ",66.9   ,"3,023,443   ",64.9   ,"94,045   ",3.0   
56,Wyoming,2019,01,"446,483   ","292,764   ",65.6   ,"281,926   ",63.1   ,"10,838   ",3.7   
01,Alabama,2019,02,"3,926,270   ","2,268,650   ",57.8   ,"2,186,701   ",55.7   ,"81,949   ",3.6   
02,Alaska,2019,02,"545,122   ","352,506   ",64.7   ,"332,380   ",61.0   ,"20,126   ",5.7   
04,Arizona,2019,02,"5,497,479   ","3,395,900   ",61.8   ,"3,228,407   ",58.7   ,"167,493   ",4.9   
05,Arkansas,2019,02,"2,326,747   ","1,363,906   ",58.6   ,"1,315,774   ",56.5   ,"48,132   ",3.5   
06,California,2019,02,"31,027,851   ","19,351,682   ",62.4   ,"18,532,272   ",59.7   ,"819,410   ",4.2   
037,Los Angeles County,2019,02,"8,075,064   ","5,120,794   ",63.4   ,"4,888,522   ",60.5   ,"232,272   ",4.5   
08,Colorado,2019,02,"4,494,726   ","3,082,935   ",68.6   ,"2,996,360   ",66.7   ,"86,575   ",2.8   
09,Connecticut,2019,02,"2,912,123   ","1,943,590   ",66.7   ,"1,873,144   ",64.3   ,"70,446   ",3.6   
10,Delaware,2019,02,"778,925   ","483,986   ",62.1   ,"466,519   ",59.9   ,"17,467   ",3.6   
11,District of Columbia,2019,02,"562,646   ","399,136   ",70.9   ,"375,540   ",66.7   ,"23,596   ",5.9   
12,Florida,2019,02,"17,194,557   ","10,174,296   ",59.2   ,"9,819,178   ",57.1   ,"355,118   ",3.5   
13,Georgia,2019,02,"8,163,740   ","5,126,316   ",62.8   ,"4,930,723   ",60.4   ,"195,593   ",3.8   
15,Hawaii,2019,02,"1,124,486   ","685,255   ",60.9   ,"665,919   ",59.2   ,"19,336   ",2.8   
16,Idaho,2019,02,"1,367,852   ","877,903   ",64.2   ,"851,930   ",62.3   ,"25,973   ",3.0   
17,Illinois,2019,02,"10,129,321   ","6,595,848   ",65.1   ,"6,301,234   ",62.2   ,"294,614   ",4.5   
18,Indiana,2019,02,"5,245,622   ","3,394,752   ",64.7   ,"3,279,698   ",62.5   ,"115,054   ",3.4   
19,Iowa,2019,02,"2,482,410   ","1,736,453   ",70.0   ,"1,692,818   ",68.2   ,"43,635   ",2.5   
20,Kansas,2019,02,"2,237,771   ","1,491,604   ",66.7   ,"1,443,860   ",64.5   ,"47,744   ",3.2   
21,Kentucky,2019,02,"3,509,719   ","2,057,631   ",58.6   ,"1,973,009   ",56.2   ,"84,622   ",4.1   
22,Louisiana,2019,02,"3,584,679   ","2,110,451   ",58.9   ,"2,011,922   ",56.1   ,"98,529   ",4.7   
23,Maine,2019,02,"1,116,889   ","699,945   ",62.7   ,"679,975   ",60.9   ,"19,970   ",2.9   
24,Maryland,2019,02,"4,837,878   ","3,293,614   ",68.1   ,"3,184,213   ",65.8   ,"109,401   ",3.3   
25,Massachusetts,2019,02,"5,714,046   ","3,832,624   ",67.1   ,"3,710,262   ",64.9   ,"122,362   ",3.2   
26,Michigan,2019,02,"8,042,588   ","4,964,805   ",61.7   ,"4,757,683   ",59.2   ,"207,122   ",4.2   
27,Minnesota,2019,02,"4,440,112   ","3,108,585   ",70.0   ,"3,002,430   ",67.6   ,"106,155   ",3.4   
28,Mississippi,2019,02,"2,279,778   ","1,271,071   ",55.8   ,"1,203,358   ",52.8   ,"67,713   ",5.3   
29,Missouri,2019,02,"4,803,465   ","3,058,461   ",63.7   ,"2,961,950   ",61.7   ,"96,511   ",3.2   
30,Montana,2019,02,"850,981   ","537,942   ",63.2   ,"518,858   ",61.0   ,"19,084   ",3.5   
31,Nebraska,2019,02,"1,490,143   ","1,043,415   ",70.0   ,"1,012,157   ",67.9   ,"31,258   ",3.0   
32,Nevada,2019,02,"2,390,282   ","1,529,558   ",64.0   ,"1,460,711   ",61.1   ,"68,847   ",4.5   
33,New Hampshire,2019,02,"1,126,344   ","772,923   ",68.6   ,"753,063   ",66.9   ,"19,860   ",2.6   
34,New Jersey,2019,02,"7,336,520   ","4,636,360   ",63.2   ,"4,480,115   ",61.1   ,"156,245   ",3.4   
35,New Mexico,2019,02,"1,641,199   ","960,554   ",58.5   ,"910,972   ",55.5   ,"49,582   ",5.2   
36,New York,2019,02,"16,233,592   ","9,860,331   ",60.7   ,"9,479,650   ",58.4   ,"380,681   ",3.9   
51000,New York city,2019,02,"7,110,732   ","4,294,766   ",60.4   ,"4,117,264   ",57.9   ,"177,502   ",4.1   
37,North Carolina,2019,02,"8,092,208   ","4,969,520   ",61.4   ,"4,777,552   ",59.0   ,"191,968   ",3.9   
38,North Dakota,2019,02,"591,640   ","415,401   ",70.2   ,"405,873   ",68.6   ,"9,528   ",2.3   
39,Ohio,2019,02,"9,286,396   ","5,841,425   ",62.9   ,"5,595,322   ",60.3   ,"246,103   ",4.2   
40,Oklahoma,2019,02,"3,007,070   ","1,834,216   ",61.0   ,"1,776,553   ",59.1   ,"57,663   ",3.1   
41,Oregon,2019,02,"3,388,815   ","2,094,550   ",61.8   ,"2,009,795   ",59.3   ,"84,755   ",4.0   
42,Pennsylvania,2019,02,"10,402,704   ","6,549,803   ",63.0   ,"6,260,086   ",60.2   ,"289,717   ",4.4   
44,Rhode Island,2019,02,"890,354   ","569,077   ",63.9   ,"548,452   ",61.6   ,"20,625   ",3.6   
45,South Carolina,2019,02,"3,981,746   ","2,317,929   ",58.2   ,"2,243,502   ",56.3   ,"74,427   ",3.2   
46,South Dakota,2019,02,"667,055   ","459,608   ",68.9   ,"446,687   ",67.0   ,"12,921   ",2.8   
47,Tennessee,2019,02,"5,376,073   ","3,319,907   ",61.8   ,"3,205,914   ",59.6   ,"113,993   ",3.4   
48,Texas,2019,02,"21,647,475   ","13,774,028   ",63.6   ,"13,272,184   ",61.3   ,"501,844   ",3.6   
49,Utah,2019,02,"2,345,238   ","1,602,860   ",68.3   ,"1,559,443   ",66.5   ,"43,417   ",2.7   
50,Vermont,2019,02,"531,550   ","355,632   ",66.9   ,"347,873   ",65.4   ,"7,759   ",2.2   
51,Virginia,2019,02,"6,699,978   ","4,435,608   ",66.2   ,"4,300,991   ",64.2   ,"134,617   ",3.0   
53,Washington,2019,02,"5,997,813   ","3,896,006   ",65.0   ,"3,715,201   ",61.9   ,"180,805   ",4.6   
54,West Virginia,2019,02,"1,454,820   ","793,999   ",54.6   ,"754,796   ",51.9   ,"39,203   ",4.9   
55,Wisconsin,2019,02,"4,659,639   ","3,118,324   ",66.9   ,"3,023,843   ",64.9   ,"94,481   ",3.0   
56,Wyoming,2019,02,"446,572   ","292,650   ",65.5   ,"282,358   ",63.2   ,"10,292   ",3.5   
01,Alabama,2019,03,"3,927,848   ","2,269,750   ",57.8   ,"2,191,746   ",55.8   ,"78,004   ",3.4   
02,Alaska,2019,03,"544,990   ","352,420   ",64.7   ,"332,710   ",61.0   ,"19,710   ",5.6   
04,Arizona,2019,03,"5,505,224   ","3,403,114   ",61.8   ,"3,237,376   ",58.8   ,"165,738   ",4.9   
05,Arkansas,2019,03,"2,327,244   ","1,364,259   ",58.6   ,"1,317,269   ",56.6   ,"46,990   ",3.4   
06,California,2019,03,"31,030,652   ","19,354,512   ",62.4   ,"18,548,250   ",59.8   ,"806,262   ",4.2   
037,Los Angeles County,2019,03,"8,073,770   ","5,122,561   ",63.4   ,"4,893,868   ",60.6   ,"228,693   ",4.5   
08,Colorado,2019,03,"4,499,880   ","3,087,255   ",68.6   ,"3,003,973   ",66.8   ,"83,282   ",2.7   
09,Connecticut,2019,03,"2,911,926   ","1,944,162   ",66.8   ,"1,874,877   ",64.4   ,"69,285   ",3.6   
10,Delaware,2019,03,"779,643   ","484,650   ",62.2   ,"467,121   ",59.9   ,"17,529   ",3.6   
11,District of Columbia,2019,03,"562,679   ","399,842   ",71.1   ,"376,646   ",66.9   ,"23,196   ",5.8   
12,Florida,2019,03,"17,208,940   ","10,188,506   ",59.2   ,"9,839,536   ",57.2   ,"348,970   ",3.4   
13,Georgia,2019,03,"8,171,921   ","5,129,922   ",62.8   ,"4,938,312   ",60.4   ,"191,610   ",3.7   
15,Hawaii,2019,03,"1,124,255   ","685,374   ",61.0   ,"665,629   ",59.2   ,"19,745   ",2.9   
16,Idaho,2019,03,"1,370,649   ","880,234   ",64.2   ,"854,604   ",62.4   ,"25,630   ",2.9   
17,Illinois,2019,03,"10,127,446   ","6,593,937   ",65.1   ,"6,308,977   ",62.3   ,"284,960   ",4.3   
18,Indiana,2019,03,"5,248,022   ","3,391,727   ",64.6   ,"3,279,987   ",62.5   ,"111,740   ",3.3   
19,Iowa,2019,03,"2,483,283   ","1,740,581   ",70.1   ,"1,697,118   ",68.3   ,"43,463   ",2.5   
20,Kansas,2019,03,"2,238,083   ","1,492,413   ",66.7   ,"1,445,446   ",64.6   ,"46,967   ",3.1   
21,Kentucky,2019,03,"3,510,443   ","2,060,181   ",58.7   ,"1,975,939   ",56.3   ,"84,242   ",4.1   
22,Louisiana,2019,03,"3,584,285   ","2,109,424   ",58.9   ,"2,013,987   ",56.2   ,"95,437   ",4.5   
23,Maine,2019,03,"1,117,359   ","699,326   ",62.6   ,"680,236   ",60.9   ,"19,090   ",2.7   
24,Maryland,2019,03,"4,839,167   ","3,297,747   ",68.1   ,"3,192,591   ",66.0   ,"105,156   ",3.2   
25,Massachusetts,2019,03,"5,715,977   ","3,834,287   ",67.1   ,"3,713,916   ",65.0   ,"120,371   ",3.1   
26,Michigan,2019,03,"8,043,238   ","4,966,873   ",61.8   ,"4,761,695   ",59.2   ,"205,178   ",4.1   
27,Minnesota,2019,03,"4,442,576   ","3,111,323   ",70.0   ,"3,006,840   ",67.7   ,"104,483   ",3.4   
28,Mississippi,2019,03,"2,279,580   ","1,272,629   ",55.8   ,"1,205,061   ",52.9   ,"67,568   ",5.3   
29,Missouri,2019,03,"4,804,697   ","3,059,749   ",63.7   ,"2,965,324   ",61.7   ,"94,425   ",3.1   
30,Montana,2019,03,"851,639   ","538,464   ",63.2   ,"519,535   ",61.0   ,"18,929   ",3.5   
31,Nebraska,2019,03,"1,490,786   ","1,044,386   ",70.1   ,"1,013,430   ",68.0   ,"30,956   ",3.0   
32,Nevada,2019,03,"2,394,319   ","1,532,659   ",64.0   ,"1,465,634   ",61.2   ,"67,025   ",4.4   
33,New Hampshire,2019,03,"1,126,984   ","773,661   ",68.6   ,"753,974   ",66.9   ,"19,687   ",2.5   
34,New Jersey,2019,03,"7,338,842   ","4,644,993   ",63.3   ,"4,493,191   ",61.2   ,"151,802   ",3.3   
35,New Mexico,2019,03,"1,641,872   ","961,674   ",58.6   ,"912,522   ",55.6   ,"49,152   ",5.1   
36,New York,2019,03,"16,233,339   ","9,860,362   ",60.7   ,"9,486,094   ",58.4   ,"374,268   ",3.8   
51000,New York city,2019,03,"7,111,203   ","4,297,720   ",60.4   ,"4,123,922   ",58.0   ,"173,798   ",4.0   
37,North Carolina,2019,03,"8,099,204   ","4,976,568   ",61.4   ,"4,788,047   ",59.1   ,"188,521   ",3.8   
38,North Dakota,2019,03,"591,813   ","415,701   ",70.2   ,"406,393   ",68.7   ,"9,308   ",2.2   
39,Ohio,2019,03,"9,287,980   ","5,844,984   ",62.9   ,"5,607,429   ",60.4   ,"237,555   ",4.1   
40,Oklahoma,2019,03,"3,008,179   ","1,835,861   ",61.0   ,"1,779,166   ",59.1   ,"56,695   ",3.1   
41,Oregon,2019,03,"3,391,365   ","2,094,679   ",61.8   ,"2,012,489   ",59.3   ,"82,190   ",3.9   
42,Pennsylvania,2019,03,"10,403,168   ","6,552,218   ",63.0   ,"6,263,868   ",60.2   ,"288,350   ",4.4   
44,Rhode Island,2019,03,"890,533   ","568,917   ",63.9   ,"548,954   ",61.6   ,"19,963   ",3.5   
45,South Carolina,2019,03,"3,985,784   ","2,322,331   ",58.3   ,"2,248,777   ",56.4   ,"73,554   ",3.2   
46,South Dakota,2019,03,"667,544   ","460,186   ",68.9   ,"447,226   ",67.0   ,"12,960   ",2.8   
47,Tennessee,2019,03,"5,379,910   ","3,329,729   ",61.9   ,"3,216,162   ",59.8   ,"113,567   ",3.4   
48,Texas,2019,03,"21,672,611   ","13,786,042   ",63.6   ,"13,297,251   ",61.4   ,"488,791   ",3.5   
49,Utah,2019,03,"2,349,373   ","1,606,392   ",68.4   ,"1,563,707   ",66.6   ,"42,685   ",2.7   
50,Vermont,2019,03,"531,695   ","355,582   ",66.9   ,"348,017   ",65.5   ,"7,565   ",2.1   
51,Virginia,2019,03,"6,703,416   ","4,444,106   ",66.3   ,"4,312,608   ",64.3   ,"131,498   ",3.0   
53,Washington,2019,03,"6,004,213   ","3,905,927   ",65.1   ,"3,727,804   ",62.1   ,"178,123   ",4.6   
54,West Virginia,2019,03,"1,454,139   ","793,594   ",54.6   ,"755,161   ",51.9   ,"38,433   ",4.8   
55,Wisconsin,2019,03,"4,661,359   ","3,119,400   ",66.9   ,"3,023,857   ",64.9   ,"95,543   ",3.1   
56,Wyoming,2019,03,"446,708   ","292,672   ",65.5   ,"282,755   ",63.3   ,"9,917   ",3.4   
01,Alabama,2019,04,"3,929,607   ","2,269,762   ",57.8   ,"2,196,117   ",55.9   ,"73,645   ",3.2   
02,Alaska,2019,04,"544,937   ","352,608   ",64.7   ,"333,202   ",61.1   ,"19,406   ",5.5   
04,Arizona,2019,04,"5,513,352   ","3,411,191   ",61.9   ,"3,246,786   ",58.9   ,"164,405   ",4.8   
05,Arkansas,2019,04,"2,327,823   ","1,364,020   ",58.6   ,"1,317,875   ",56.6   ,"46,145   ",3.4   
06,California,2019,04,"31,035,841   ","19,360,091   ",62.4   ,"18,566,280   ",59.8   ,"793,811   ",4.1   
037,Los Angeles County,2019,04,"8,072,756   ","5,126,730   ",63.5   ,"4,901,150   ",60.7   ,"225,580   ",4.4   
08,Colorado,2019,04,"4,505,234   ","3,091,746   ",68.6   ,"3,011,221   ",66.8   ,"80,525   ",2.6   
09,Connecticut,2019,04,"2,911,860   ","1,945,128   ",66.8   ,"1,876,820   ",64.5   ,"68,308   ",3.5   
10,Delaware,2019,04,"780,437   ","485,166   ",62.2   ,"467,549   ",59.9   ,"17,617   ",3.6   
11,District of Columbia,2019,04,"562,800   ","400,365   ",71.1   ,"377,849   ",67.1   ,"22,516   ",5.6   
12,Florida,2019,04,"17,224,396   ","10,208,164   ",59.3   ,"9,865,230   ",57.3   ,"342,934   ",3.4   
13,Georgia,2019,04,"8,180,566   ","5,134,802   ",62.8   ,"4,946,782   ",60.5   ,"188,020   ",3.7   
15,Hawaii,2019,04,"1,124,150   ","685,423   ",61.0   ,"665,713   ",59.2   ,"19,710   ",2.9   
16,Idaho,2019,04,"1,373,528   ","882,774   ",64.3   ,"857,322   ",62.4   ,"25,452   ",2.9   
17,Illinois,2019,04,"10,126,138   ","6,589,245   ",65.1   ,"6,316,328   ",62.4   ,"272,917   ",4.1   
18,Indiana,2019,04,"5,250,626   ","3,388,261   ",64.5   ,"3,279,236   ",62.5   ,"109,025   ",3.2   
19,Iowa,2019,04,"2,484,240   ","1,744,736   ",70.2   ,"1,701,156   ",68.5   ,"43,580   ",2.5   
20,Kansas,2019,04,"2,238,478   ","1,493,496   ",66.7   ,"1,447,129   ",64.6   ,"46,367   ",3.1   
21,Kentucky,2019,04,"3,511,332   ","2,063,421   ",58.8   ,"1,979,188   ",56.4   ,"84,233   ",4.1   
22,Louisiana,2019,04,"3,584,093   ","2,107,367   ",58.8   ,"2,014,589   ",56.2   ,"92,778   ",4.4   
23,Maine,2019,04,"1,117,922   ","699,231   ",62.5   ,"680,798   ",60.9   ,"18,433   ",2.6   
24,Maryland,2019,04,"4,840,751   ","3,303,285   ",68.2   ,"3,200,287   ",66.1   ,"102,998   ",3.1   
25,Massachusetts,2019,04,"5,718,175   ","3,836,026   ",67.1   ,"3,717,504   ",65.0   ,"118,522   ",3.1   
26,Michigan,2019,04,"8,044,260   ","4,969,895   ",61.8   ,"4,765,306   ",59.2   ,"204,589   ",4.1   
27,Minnesota,2019,04,"4,445,240   ","3,114,952   ",70.1   ,"3,012,067   ",67.8   ,"102,885   ",3.3   
28,Mississippi,2019,04,"2,279,543   ","1,274,482   ",55.9   ,"1,206,775   ",52.9   ,"67,707   ",5.3   
29,Missouri,2019,04,"4,806,147   ","3,060,564   ",63.7   ,"2,968,878   ",61.8   ,"91,686   ",3.0   
30,Montana,2019,04,"852,293   ","539,220   ",63.3   ,"520,345   ",61.1   ,"18,875   ",3.5   
31,Nebraska,2019,04,"1,491,511   ","1,045,447   ",70.1   ,"1,014,650   ",68.0   ,"30,797   ",2.9   
32,Nevada,2019,04,"2,398,528   ","1,534,364   ",64.0   ,"1,470,507   ",61.3   ,"63,857   ",4.2   
33,New Hampshire,2019,04,"1,127,679   ","774,359   ",68.7   ,"754,789   ",66.9   ,"19,570   ",2.5   
34,New Jersey,2019,04,"7,341,594   ","4,655,761   ",63.4   ,"4,506,955   ",61.4   ,"148,806   ",3.2   
35,New Mexico,2019,04,"1,642,690   ","962,443   ",58.6   ,"913,981   ",55.6   ,"48,462   ",5.0   
36,New York,2019,04,"16,234,038   ","9,861,141   ",60.7   ,"9,491,920   ",58.5   ,"369,221   ",3.7   
51000,New York city,2019,04,"7,111,904   ","4,299,341   ",60.5   ,"4,129,897   ",58.1   ,"169,444   ",3.9   
37,North Carolina,2019,04,"8,106,632   ","4,982,764   ",61.5   ,"4,795,974   ",59.2   ,"186,790   ",3.7   
38,North Dakota,2019,04,"592,028   ","415,645   ",70.2   ,"406,648   ",68.7   ,"8,997   ",2.2   
39,Ohio,2019,04,"9,289,983   ","5,851,580   ",63.0   ,"5,619,380   ",60.5   ,"232,200   ",4.0   
40,Oklahoma,2019,04,"3,009,445   ","1,837,365   ",61.1   ,"1,781,511   ",59.2   ,"55,854   ",3.0   
41,Oregon,2019,04,"3,394,106   ","2,094,569   ",61.7   ,"2,014,442   ",59.4   ,"80,127   ",3.8   
42,Pennsylvania,2019,04,"10,404,082   ","6,552,682   ",63.0   ,"6,266,529   ",60.2   ,"286,153   ",4.4   
44,Rhode Island,2019,04,"890,816   ","569,259   ",63.9   ,"549,676   ",61.7   ,"19,583   ",3.4   
45,South Carolina,2019,04,"3,990,010   ","2,325,150   ",58.3   ,"2,253,580   ",56.5   ,"71,570   ",3.1   
46,South Dakota,2019,04,"667,999   ","460,748   ",69.0   ,"447,747   ",67.0   ,"13,001   ",2.8   
47,Tennessee,2019,04,"5,383,982   ","3,337,793   ",62.0   ,"3,225,201   ",59.9   ,"112,592   ",3.4   
48,Texas,2019,04,"21,699,345   ","13,803,426   ",63.6   ,"13,324,780   ",61.4   ,"478,646   ",3.5   
49,Utah,2019,04,"2,353,661   ","1,610,053   ",68.4   ,"1,567,954   ",66.6   ,"42,099   ",2.6   
50,Vermont,2019,04,"531,810   ","355,484   ",66.8   ,"348,026   ",65.4   ,"7,458   ",2.1   
51,Virginia,2019,04,"6,707,188   ","4,448,783   ",66.3   ,"4,322,634   ",64.4   ,"126,149   ",2.8   
53,Washington,2019,04,"6,010,909   ","3,914,391   ",65.1   ,"3,740,050   ",62.2   ,"174,341   ",4.5   
54,West Virginia,2019,04,"1,453,551   ","793,774   ",54.6   ,"755,905   ",52.0   ,"37,869   ",4.8   
55,Wisconsin,2019,04,"4,663,267   ","3,120,892   ",66.9   ,"3,023,600   ",64.8   ,"97,292   ",3.1   
56,Wyoming,2019,04,"446,793   ","292,944   ",65.6   ,"283,140   ",63.4   ,"9,804   ",3.3   
01,Alabama,2019,05,"3,931,489   ","2,269,477   ",57.7   ,"2,199,812   ",56.0   ,"69,665   ",3.1   
02,Alaska,2019,05,"544,832   ","352,970   ",64.8   ,"333,694   ",61.2   ,"19,276   ",5.5   
04,Arizona,2019,05,"5,521,644   ","3,419,960   ",61.9   ,"3,256,037   ",59.0   ,"163,923   ",4.8   
05,Arkansas,2019,05,"2,328,527   ","1,363,616   ",58.6   ,"1,317,815   ",56.6   ,"45,801   ",3.4   
06,California,2019,05,"31,040,925   ","19,369,999   ",62.4   ,"18,584,927   ",59.9   ,"785,072   ",4.1   
037,Los Angeles County,2019,05,"8,071,425   ","5,133,469   ",63.6   ,"4,909,741   ",60.8   ,"223,728   ",4.4   
08,Colorado,2019,05,"4,510,733   ","3,096,196   ",68.6   ,"3,017,467   ",66.9   ,"78,729   ",2.5   
09,Connecticut,2019,05,"2,911,916   ","1,946,722   ",66.9   ,"1,879,011   ",64.5   ,"67,711   ",3.5   
10,Delaware,2019,05,"781,189   ","485,535   ",62.2   ,"467,771   ",59.9   ,"17,764   ",3.7   
11,District of Columbia,2019,05,"562,869   ","400,672   ",71.2   ,"378,895   ",67.3   ,"21,777   ",5.4   
12,Florida,2019,05,"17,240,391   ","10,232,098   ",59.3   ,"9,893,904   ",57.4   ,"338,194   ",3.3   
13,Georgia,2019,05,"8,189,294   ","5,141,381   ",62.8   ,"4,955,880   ",60.5   ,"185,501   ",3.6   
15,Hawaii,2019,05,"1,124,026   ","685,361   ",61.0   ,"666,208   ",59.3   ,"19,153   ",2.8   
16,Idaho,2019,05,"1,376,455   ","885,515   ",64.3   ,"859,979   ",62.5   ,"25,536   ",2.9   
17,Illinois,2019,05,"10,125,110   ","6,582,561   ",65.0   ,"6,321,220   ",62.4   ,"261,341   ",4.0   
18,Indiana,2019,05,"5,253,498   ","3,385,691   ",64.4   ,"3,278,133   ",62.4   ,"107,558   ",3.2   
19,Iowa,2019,05,"2,485,371   ","1,748,680   ",70.4   ,"1,704,571   ",68.6   ,"44,109   ",2.5   
20,Kansas,2019,05,"2,238,968   ","1,494,848   ",66.8   ,"1,448,766   ",64.7   ,"46,082   ",3.1   
21,Kentucky,2019,05,"3,512,368   ","2,066,906   ",58.8   ,"1,982,623   ",56.4   ,"84,283   ",4.1   
22,Louisiana,2019,05,"3,583,980   ","2,104,995   ",58.7   ,"2,013,775   ",56.2   ,"91,220   ",4.3   
23,Maine,2019,05,"1,118,542   ","699,722   ",62.6   ,"681,599   ",60.9   ,"18,123   ",2.6   
24,Maryland,2019,05,"4,842,415   ","3,310,991   ",68.4   ,"3,207,154   ",66.2   ,"103,837   ",3.1   
25,Massachusetts,2019,05,"5,720,593   ","3,837,165   ",67.1   ,"3,720,073   ",65.0   ,"117,092   ",3.1   
26,Michigan,2019,05,"8,045,660   ","4,973,009   ",61.8   ,"4,767,742   ",59.3   ,"205,267   ",4.1   
27,Minnesota,2019,05,"4,448,167   ","3,119,897   ",70.1   ,"3,017,819   ",67.8   ,"102,078   ",3.3   
